"Aaron McIntyre",,,,
"Alan Love","Q76130571","2019 United Kingdom general election","Lagan Valley","UK Independence Party"
"Alexander Redpath",,,,
"Ally Haydock","Q76130944","2019 United Kingdom general election","Lagan Valley","Social Democratic and Labour Party"
"Billy McDonnell",,,,
"Brian Heading",,,,
"Cormac Joseph Boomer",,,,
"Gary Hynds","Q76363108","2019 United Kingdom general election","Lagan Valley","Conservative Party"
"Gary McCleave","Q76119892","2019 United Kingdom general election","Lagan Valley","Sinn F̩in"
"Gerard Loughlin",,,,
"Helen Osborne",,,,
"Hugh Finlay",,,,
"Hugh Lewsley",,,,
"Ian Nickels",,,,
"Jacqui McGeough",,,,
"Jacqui Russell",,,,
"Jonny Orr",,,,
"Keith Harbinson",,,,
"Mrs. Ann Marie Lowry",,,,
"Mrs. Frances McCarthy",,,,
"Patrick Joseph Rice",,,,
"Richard McAuley",,,,
"Samuel Morrison",,,,
"Sorcha Eastwood","Q76130673","2019 United Kingdom general election","Lagan Valley","Alliance Party of Northern Ireland"
"Stuart E. Sexton",,,,
"Timothy R. Coleridge",,,,
